Calendar,Summary,Start_Date,Start_Time,End_Date,End_Time,UTC_Offset,Recurrence,Recurrence_Interval,Recurrence_Count,Location,Description,Image,Status,URL,Categories
Back Stage,"Couvo, Marla Croon, Marc Smith, and Painted Dog",2019-02-07,20:00:00,2019-02-08,0:00:00,,,,,,"Couvo, Marla Croon, Marc Smith, and Painted Dog

Doors at 8. $10

Couvo- 11 PM
Marla Croon - 10 PM
Marc Smith - 9 PM
Painted Dog - 8 PM",https://thefootlightbar.github.io/static/images/2019-02.couvo-marla-croon-marc-smith-and-painted-dog.jpg,CONFIRMED,https://www.facebook.com/events/224083645141184/,
Back Stage,"Low Roller, Jericho Freer, Babie's Babies, Nathan Xander ",2019-02-08,21:00:00,2019-02-09,1:00:00,,,,,,"Low Roller, Jericho Freer, Babie's Babies, Nathan Xander

Doors at 9. $10",https://thefootlightbar.github.io/static/images/2_8%20FRI%209-1.jpg,CONFIRMED,https://www.facebook.com/events/287824968601426/,
Back Stage,The Mess with Jesse Roth,2019-02-09,19:00:00,2019-02-09,21:00:00,,,,,,,https://thefootlightbar.github.io/static/images/2019-02.the-mess-with-jesse-roth.jpg,CONFIRMED,,
Back Stage,"DJ MOJO Presents: Galaxyworld, Amy Klein Band, Easy Lover",2019-02-09,21:00:00,2019-02-10,1:00:00,,,,,,"Galaxyworld, Amy Klein Band, Easy Lover

Doors at 9. $10",,CONFIRMED,,
Back Stage,"Sam & The Sea, The Merrymakers Orchestrina, IVAR & Yucca King",2019-02-10,20:00:00,2019-02-11,0:00:00,,,,,,"Sam & The Sea, The Merrymakers Orchestrina, IVAR & Yucca King

Doors at 9. $10",,CONFIRMED,https://www.facebook.com/events/324625018155129/,
Back Stage,Whose Mike is it Anyway?,2019-02-11,20:30:00,2019-02-11,23:00:00,,,,,,,,CONFIRMED,,
Back Stage,Le Noize Karaoke,2019-02-11,23:00:00,2019-02-12,2:00:00,,,,,,,,CONFIRMED,,
Back Stage,The Lady Mic ,2019-02-12,19:00:00,2019-02-12,21:00:00,,,,,,promo coming - 1/14 - lbr,,CONFIRMED,,
Back Stage,American Single 2 of 3,2019-02-12,21:00:00,2019-02-12,23:00:00,,,,,,,https://thefootlightbar.github.io/static/images/2019-01.american-single.jpg,CONFIRMED,,
Back Stage,"Shlomo Franklin, Megg Farrell & Friends, Darryl Rahn, Lauren Jaimes",2019-02-13,20:00:00,2019-02-14,0:00:00,,,,,,"Shlomo Franklin, Megg Farrell &amp; Friends, Darryl Rahn, Lauren Jaimes<br><br>Doors at 8. $10<br><a href=""https://www.facebook.com/ShlomoFranklinSongs/"" target=""_blank"">Shlomo Franklin</a><br><a href=""https://l.facebook.com/l.php?u=http%3A%2F%2Fwww.shlomofranklin.com%2F%3Ffbclid%3DIwAR3Dd8g1EGfWRRw-qA2By9X2R7xImlpSen9EK4nVUtiPqYI2hBcnnkRLYCM&h=AT0QcpNbGEWXdIRe7yy0Sd4P2Ok91gZAG6RQdkW7F23HQqLCunVMH5-i7allaoaZF-WUS7AkQRPmI0K81EEoCQHU0_b4o9ImnBYj_2Fp1r1mgZk07jwkcR2ShzqlM2V8rLOBwN0"" rel=""nofollow noopener"" target=""_blank"">www.shlomofranklin.com</a><br><br><a href=""https://www.facebook.com/meggfarrell/"" target=""_blank"">Megg Farrell &amp; Friends</a><br><a href=""https://l.facebook.com/l.php?u=http%3A%2F%2Fwww.meggfarrell.com%2F%3Ffbclid%3DIwAR2RhfmflKmw2-rwyujhaHI4KKZE7PLkNY81BJkUWXXXDL1k66jcxqTAaCs&h=AT1d7lGTudIZ74c1XBmhVpwbJ8B_rY8HIgZAK0DUsTQRcZG133E-xZHLMCEcK7_eJFerSQaw3cO3pxeJswOy48earNtdnrZEdIxZI4E1ANkUe87iIna4v7xzArauHf-TvityRzk"" rel=""nofollow noopener"" target=""_blank"">www.meggfarrell.com</a><br><br><a href=""https://www.facebook.com/DarrylRahnMusic/"" target=""_blank"">Darryl Rahn</a><br><a href=""http://www.darrylrahn.com/?fbclid=IwAR37Mfncq29Vg16eGNMrAh65G6QHf_YVAYWwfahWWd9j0lnaUag4sdD0O8U"" rel=""nofollow noopener"" target=""_blank"">www.darrylrahn.com</a><br><br><a href=""https://www.facebook.com/lauren.litty.1257"" target=""_blank"">Lauren Jaimes</a><br><a href=""http://laurenjaimesmusic.com/?fbclid=IwAR1oRgUes4a0FD8jGC8BQTZpKxcz_yXWEWR8V1_aLMXdN146_mma5pd93yU"" rel=""nofollow noopener"" target=""_blank"">laurenjaimesmusic.com</a><br><br><span>21 + // $10 at the door</span><br><span><br></span>",https://thefootlightbar.github.io/static/images/%202019-02.shlomo-frankling-megg-farrell-darryl-rahn-lauren-jaimes.jpg,CONFIRMED,https://www.facebook.com/events/1984961358268937/,
